,Dates,PX_OPEN,PX_LAST,PX_LOW,PX_HIGH,PX_VOLUME,PE_RATIO,PX_TO_BOOK_RATIO,PX_TO_SALES_RATIO,PX_TO_TANG_BV_PER_SH,PX_TO_EBITDA,PX_TO_FREE_CASH_FLOW
946,946,118.19,116.92,116.65,118.25,12087377,41.461,6.2268,13.5071,10.1105,26.2552,33.0297
947,947,117,116.35,116.06,117.531,9934873,41.2589,6.1964,13.4412,10.0612,26.1272,32.8687
948,948,116.595,115.05,114.774,116.83,18684106,32.9656,5.6209,11.9283,8.6339,22.3304,28.3767
949,949,116.03,116.86,115.51,117.84,20663912,33.4842,5.7093,12.116,8.7697,22.6817,28.8231
950,950,117.55,118.69,117.29,119.66,19630932,34.0086,5.7988,12.3057,8.9071,23.0369,29.2745
951,951,118.86,120.67,118.321,120.95,19492150,34.5759,5.8955,12.511,9.0557,23.4212,29.7628
952,952,120.98,123.41,120.03,123.88,28545263,35.361,6.0294,12.795,9.2613,23.953,30.4386
953,953,123.55,124.9,123.04,125.43,22880360,35.788,6.1022,12.9495,9.3731,24.2422,30.8061
954,954,124.82,124.35,124.28,125.5,17324590,35.6304,6.0753,12.8925,9.3318,24.1354,30.6705
955,955,124.35,126.09,124.06,126.12,18356523,36.1289,6.1603,13.0729,9.4624,24.4732,31.0996
956,956,125.61,126.62,124.8,126.73,18653914,36.2808,6.1862,13.1279,9.5022,24.576,31.2304
957,957,127.49,128.34,127.37,129.27,24884325,36.7736,6.2702,13.3062,9.6312,24.9099,31.6546
958,958,128.04,127.87,127.4,128.34,15294460,36.639,6.2473,13.2575,9.596,24.8186,31.5387
959,959,128.41,127.92,126.84,128.43,13145852,36.6533,6.2497,13.2626,9.5997,24.8284,31.551
960,960,128.23,127.55,127.45,128.35,12195465,36.5473,6.2316,13.2243,9.572,24.7565,31.4597
961,961,128.1,127.04,126.78,128.48,19097223,36.4011,6.2067,13.1714,9.5337,24.6575,31.334
962,962,127.31,128.93,126.95,129.25,16593563,36.9427,6.299,13.3674,9.6755,25.0244,31.8001
963,963,129.38,129.37,128.38,129.9,15162724,37.0688,6.3205,13.413,9.7085,25.1098,31.9086
964,964,130,131.48,129.77,131.74,18777314,37.6734,6.4236,13.6317,9.8669,25.5193,32.4291
965,965,131.63,132.78,131.44,133.14,20020141,38.0458,6.4871,13.7665,9.9644,25.7716,32.7497
966,966,132.68,132.18,131.08,132.95,19539514,37.8739,6.4578,13.7043,9.9194,25.6552,32.6017
967,967,131.58,130.98,129.6,131.58,18956095,37.5301,6.3992,13.5799,9.8294,25.4223,32.3057
968,968,130.17,130.32,129.516,130.66,19790484,37.341,6.367,13.5115,9.7798,25.2942,32.143
969,969,132.25,133.23,130.68,133.49,50139775,38.1748,6.5091,13.8132,9.9982,25.859,32.8607
970,970,133.22,130.84,130.4,135.49,54366447,37.49,6.3924,13.5654,9.8189,25.3951,32.2712
971,971,131.24,130.98,130.76,132.85,24804890,37.5301,6.3992,13.5799,9.8294,25.4223,32.3057
972,972,130.98,132.06,130.3,132.06,17058494,37.8395,6.452,13.6919,9.9104,25.6319,32.5721
973,973,132.24,131.84,131.661,133,14596449,37.7765,6.4412,13.6691,9.8939,25.589199999999998,32.5179
